Dataset,embeddings,# Features,# Samples,Feature_Samples_ratio,Intrinsic_Dimension,Condition number,Fisher Discriminant Ratio,Total Correlations,Mutual information,# Non-zero entries,# Low variance features,Variation,std_var,Coefficient of Variation %,std_co_of_v,Skewness,std_skew,Kurtosis,std_kurt,Mean Log Kernel Density,Isomap Reconstruction Error,Fractal dimension,Entropy,std_entropy,iteration,model,accuracy,f1_score,time,auc,Model_Parameters,datatype,model_embed_datatype
class_data-1.csv,none,10,70,0.1428571428571428,8,2.208795477305898e+16,0.3947433678885899,12.428754222942832,0.0987959077059446,690,3,0.053,0.0170293863659264,46.6389906724532,7.059617092999689,0.0682983812369279,0.3007742234746663,-0.3813548830646548,0.5938771832866725,2.8735178480038166,0.2537026231566387,1.996538019792748,0.8812908992306927,0.0,2,dt,0.8,0.8,0.0066468715667724,0.7619047619047621,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_none_class_data
class_data-1.csv,none,10,70,0.1428571428571428,8,2.208795477305898e+16,0.3947433678885899,12.428754222942832,0.0987959077059446,690,3,0.053,0.0170293863659264,46.6389906724532,7.059617092999689,0.0682983812369279,0.3007742234746663,-0.3813548830646548,0.5938771832866725,2.8735178480038166,0.2537026231566387,1.996538019792748,0.8812908992306927,0.0,2,svc,0.7,0.5764705882352941,0.0060288906097412,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_none_class_data
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.6578582754148448,0.5929033924259413,0.0,0.174314521500063,210,1,0.1133333333333333,0.0585946527708231,-2.455584166992804e+17,6.11112648053103e+17,-0.1233493280848586,0.1157477765227329,-0.7750904239868786,0.1321210022255007,-0.6525114280081886,0.0942919540128626,1.988271276258166,0.8812908992306927,0.0,3,dt,0.9333333333333332,0.935,0.0063858032226562,0.9523809523809524,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_pca_class_data
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.6578582754148448,0.5929033924259413,0.0,0.174314521500063,210,1,0.1133333333333333,0.0585946527708231,-2.455584166992804e+17,6.11112648053103e+17,-0.1233493280848586,0.1157477765227329,-0.7750904239868786,0.1321210022255007,-0.6525114280081886,0.0942919540128626,1.988271276258166,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.0060629844665527,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_pca_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.6092109715457823,0.5790965233730908,0.0,0.1485482079449647,210,1,0.1666666666666666,0.0832666399786453,2.277982298726223e+18,3.911484586585424e+18,0.0566414880566961,0.0810821067700297,-0.9237154406664267,0.1515956341677034,-0.9868430393225768,0.134139010762056,1.988158284259052,0.8812908992306927,0.0,3,dt,0.9666666666666668,0.9660738714090286,0.006314992904663,0.9444444444444444,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_isomap_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.6092109715457823,0.5790965233730908,0.0,0.1485482079449647,210,1,0.1666666666666666,0.0832666399786453,2.277982298726223e+18,3.911484586585424e+18,0.0566414880566961,0.0810821067700297,-0.9237154406664267,0.1515956341677034,-0.9868430393225768,0.134139010762056,1.988158284259052,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.0060529708862304,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_isomap_class_data
class_data-1.csv,none,10,70,0.1428571428571428,8,1.998764662864305e+16,0.3663784353758743,12.921933213372174,0.1121522767623459,690,3,0.055,0.0126929551764398,47.89873118556842,7.608652244498416,0.0703067971519872,0.2890898202568124,-0.3309913789901886,0.5529088670948621,2.8555721713599445,0.2335633727868771,1.9965216451376708,0.8812908992306927,0.0,3,dt,0.9,0.9014120667522464,0.0064404010772705,0.8968253968253967,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_none_class_data
class_data-1.csv,none,10,70,0.1428571428571428,8,1.998764662864305e+16,0.3663784353758743,12.921933213372174,0.1121522767623459,690,3,0.055,0.0126929551764398,47.89873118556842,7.608652244498416,0.0703067971519872,0.2890898202568124,-0.3309913789901886,0.5529088670948621,2.8555721713599445,0.2335633727868771,1.9965216451376708,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.0061433315277099,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_none_class_data
class_data-2.csv,pca,3,70,0.0428571428571428,3,1.4547483517215,0.91379855722111,2.220446049250313e-15,0.2423814605363431,210,1,0.0933333333333333,0.0305505046330389,-7.63867886453705e+16,4.260306304907219e+17,0.0293194874911112,0.1978476253253489,-0.3447237845318411,0.3326380052585814,-0.4705710383693832,0.073462117182568,1.988269706878258,0.9786961448300948,0.0,1,dt,0.9666666666666668,0.9668571428571427,0.0064587593078613,0.9722222222222222,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_pca_class_data
class_data-2.csv,pca,3,70,0.0428571428571428,3,1.4547483517215,0.91379855722111,2.220446049250313e-15,0.2423814605363431,210,1,0.0933333333333333,0.0305505046330389,-7.63867886453705e+16,4.260306304907219e+17,0.0293194874911112,0.1978476253253489,-0.3447237845318411,0.3326380052585814,-0.4705710383693832,0.073462117182568,1.988269706878258,0.9786961448300948,0.0,1,svc,0.6,0.45,0.0070791244506835,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_pca_class_data
