model,Mean_F1_Score,Median_F1_Score,Max_F1_Score,StandardDev_F1_Score
dt,0.8220104172100496,0.9120089786756455,0.9547651618787049,0.19409095637310858
svc,0.5797487729419322,0.5764705882352941,0.7127757305905025,0.13141853376929455
