Dataset,embeddings,# Features,# Samples,Feature_Samples_ratio,Intrinsic_Dimension,Condition number,Fisher Discriminant Ratio,Total Correlations,Mutual information,# Non-zero entries,# Low variance features,Variation,std_var,Coefficient of Variation %,std_co_of_v,Skewness,std_skew,Kurtosis,std_kurt,Mean Log Kernel Density,Isomap Reconstruction Error,Fractal dimension,Entropy,std_entropy,iteration,model,accuracy,f1_score,time,auc,Model_Parameters
class_data-1.csv,none,10,70,0.14285714285714285,8,2.208795477305898e+16,0.39474336788858994,12.428754222942832,0.09879590770594468,690,3,0.053000000000000005,0.017029386365926404,46.638990672453204,7.059617092999689,0.06829838123692791,0.30077422347466637,-0.3813548830646548,0.5938771832866725,2.8735178480038166,0.2537026231566387,1.9965380197927478,0.8812908992306927,0.0,2,dt,0.8,0.8,0.006646871566772461,0.7619047619047621,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}"
class_data-1.csv,none,10,70,0.14285714285714285,8,2.208795477305898e+16,0.39474336788858994,12.428754222942832,0.09879590770594468,690,3,0.053000000000000005,0.017029386365926404,46.638990672453204,7.059617092999689,0.06829838123692791,0.30077422347466637,-0.3813548830646548,0.5938771832866725,2.8735178480038166,0.2537026231566387,1.9965380197927478,0.8812908992306927,0.0,2,svc,0.7,0.5764705882352941,0.006028890609741211,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}"
class_data-1.csv,pca,3,70,0.04285714285714286,3,1.6578582754148448,0.5929033924259413,0.0,0.17431452150006307,210,1,0.11333333333333334,0.058594652770823145,-2.455584166992804e+17,6.11112648053103e+17,-0.12334932808485864,0.11574777652273296,-0.7750904239868786,0.13212100222550074,-0.6525114280081886,0.09429195401286264,1.988271276258166,0.8812908992306927,0.0,3,dt,0.9333333333333333,0.9349999999999999,0.00638580322265625,0.9523809523809523,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}"
class_data-1.csv,pca,3,70,0.04285714285714286,3,1.6578582754148448,0.5929033924259413,0.0,0.17431452150006307,210,1,0.11333333333333334,0.058594652770823145,-2.455584166992804e+17,6.11112648053103e+17,-0.12334932808485864,0.11574777652273296,-0.7750904239868786,0.13212100222550074,-0.6525114280081886,0.09429195401286264,1.988271276258166,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.006062984466552734,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}"
class_data-1.csv,isomap,3,70,0.04285714285714286,3,1.6092109715457823,0.5790965233730908,0.0,0.1485482079449647,210,1,0.16666666666666666,0.08326663997864531,2.277982298726223e+18,3.911484586585424e+18,0.05664148805669616,0.08108210677002976,-0.9237154406664269,0.15159563416770344,-0.9868430393225769,0.134139010762056,1.9881582842590522,0.8812908992306927,0.0,3,dt,0.9666666666666667,0.9660738714090286,0.006314992904663086,0.9444444444444444,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}"
class_data-1.csv,isomap,3,70,0.04285714285714286,3,1.6092109715457823,0.5790965233730908,0.0,0.1485482079449647,210,1,0.16666666666666666,0.08326663997864531,2.277982298726223e+18,3.911484586585424e+18,0.05664148805669616,0.08108210677002976,-0.9237154406664269,0.15159563416770344,-0.9868430393225769,0.134139010762056,1.9881582842590522,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.006052970886230469,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}"
class_data-1.csv,none,10,70,0.14285714285714285,8,1.998764662864305e+16,0.3663784353758743,12.921933213372174,0.11215227676234599,690,3,0.05500000000000001,0.012692955176439848,47.89873118556842,7.608652244498416,0.07030679715198727,0.28908982025681246,-0.33099137899018866,0.5529088670948621,2.8555721713599445,0.2335633727868771,1.9965216451376708,0.8812908992306927,0.0,3,dt,0.9,0.9014120667522465,0.006440401077270508,0.8968253968253967,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}"
class_data-1.csv,none,10,70,0.14285714285714285,8,1.998764662864305e+16,0.3663784353758743,12.921933213372174,0.11215227676234599,690,3,0.05500000000000001,0.012692955176439848,47.89873118556842,7.608652244498416,0.07030679715198727,0.28908982025681246,-0.33099137899018866,0.5529088670948621,2.8555721713599445,0.2335633727868771,1.9965216451376708,0.8812908992306927,0.0,3,svc,0.7,0.5764705882352941,0.006143331527709961,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}"
class_data-2.csv,pca,3,70,0.04285714285714286,3,1.4547483517214999,0.9137985572211099,2.220446049250313e-15,0.24238146053634316,210,1,0.09333333333333334,0.030550504633038933,-7.63867886453705e+16,4.260306304907219e+17,0.02931948749111128,0.19784762532534897,-0.3447237845318411,0.3326380052585814,-0.4705710383693832,0.07346211718256802,1.988269706878258,0.9786961448300948,0.0,1,dt,0.9666666666666667,0.9668571428571427,0.006458759307861328,0.9722222222222222,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}"
class_data-2.csv,pca,3,70,0.04285714285714286,3,1.4547483517214999,0.9137985572211099,2.220446049250313e-15,0.24238146053634316,210,1,0.09333333333333334,0.030550504633038933,-7.63867886453705e+16,4.260306304907219e+17,0.02931948749111128,0.19784762532534897,-0.3447237845318411,0.3326380052585814,-0.4705710383693832,0.07346211718256802,1.988269706878258,0.9786961448300948,0.0,1,svc,0.6,0.45,0.007079124450683594,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}"
